sample_id,condition,strain,medium,timepoint,is_mobile,is_sessile,is_early,is_late
9a5c_PIM6_1d_rep1,9a5c_PIM6_1d,9a5c,PIM6,1d,1,0,1,0
9a5c_PIM6_1d_rep2,9a5c_PIM6_1d,9a5c,PIM6,1d,1,0,1,0
9a5c_PIM6_1d_rep3,9a5c_PIM6_1d,9a5c,PIM6,1d,1,0,1,0
9a5c_PIM6_3d_rep1,9a5c_PIM6_3d,9a5c,PIM6,3d,1,0,0,1
9a5c_PIM6_3d_rep2,9a5c_PIM6_3d,9a5c,PIM6,3d,1,0,0,1
9a5c_PIM6_3d_rep3,9a5c_PIM6_3d,9a5c,PIM6,3d,1,0,0,1
9a5c_PWG_3d_rep1,9a5c_PWG_3d,9a5c,PWG,3d,0,1,1,0
9a5c_PWG_3d_rep2,9a5c_PWG_3d,9a5c,PWG,3d,0,1,1,0
9a5c_PWG_3d_rep3,9a5c_PWG_3d,9a5c,PWG,3d,0,1,1,0
9a5c_PWG_10d_rep1,9a5c_PWG_10d,9a5c,PWG,10d,0,1,0,1
9a5c_PWG_10d_rep2,9a5c_PWG_10d,9a5c,PWG,10d,0,1,0,1
9a5c_PWG_10d_rep3,9a5c_PWG_10d,9a5c,PWG,10d,0,1,0,1
Tem1_PIM6_1d_rep1,Tem1_PIM6_1d,Temecula1,PIM6,1d,1,0,1,0
Tem1_PIM6_1d_rep2,Tem1_PIM6_1d,Temecula1,PIM6,1d,1,0,1,0
Tem1_PIM6_1d_rep3,Tem1_PIM6_1d,Temecula1,PIM6,1d,1,0,1,0
Tem1_PIM6_3d_rep1,Tem1_PIM6_3d,Temecula1,PIM6,3d,1,0,0,1
Tem1_PIM6_3d_rep2,Tem1_PIM6_3d,Temecula1,PIM6,3d,1,0,0,1
Tem1_PIM6_3d_rep3,Tem1_PIM6_3d,Temecula1,PIM6,3d,1,0,0,1
Tem1_PWG_3d_rep1,Tem1_PWG_3d,Temecula1,PWG,3d,0,1,1,0
Tem1_PWG_3d_rep2,Tem1_PWG_3d,Temecula1,PWG,3d,0,1,1,0
Tem1_PWG_3d_rep3,Tem1_PWG_3d,Temecula1,PWG,3d,0,1,1,0
Tem1_PWG_7d_rep1,Tem1_PWG_7d,Temecula1,PWG,7d,0,1,0,1
Tem1_PWG_7d_rep2,Tem1_PWG_7d,Temecula1,PWG,7d,0,1,0,1
Tem1_PWG_7d_rep3,Tem1_PWG_7d,Temecula1,PWG,7d,0,1,0,1
